id,name
806,Cynthia Ettinger
807,Cynthia Wood
808,Cyril Chadwick
809,Cyril Raymond
810,César Sarachu
811,Dado Cosic
812,Dae-Hoon Jeong
813,Daiba
814,Daisaku Akino
815,Daisuke Katô
816,Daisuke Ryu
817,Daisy Granados
818,Damian Delgado Domingo
819,Damian Jewan Lee
820,Damien Corsetti
821,Dan Aykroyd
822,Dan Chiriac
823,Dan Duryea
824,Dan Hedaya
825,Dan O'Herlihy
826,Dan Poole
827,Dan Rivera Gonzales
828,Dana Andrews
829,Dana Wynter
830,Dani
831,Dani Erdélyi
832,Daniel Auteuil
833,Daniel Boulanger
834,Daniel Brühl
835,Daniel Cauchy
836,Daniel Day-Lewis
837,Daniel Gélin
838,Daniel Ivernel
839,Daniel Jordan
840,Daniel Krauss
841,Daniel Martin
842,Daniel Olbrychski
843,Daniel Pommereulle
844,Daniel Richter
845,Daniel Russo
846,Daniel Smith
847,Daniela Bakerova
848,Daniela Rocca
849,Danielle Darrieux
850,Danièle Lebrun
851,Danny Aiello
852,Danny Barnes
853,Danny Dayton
854,Danny DeVito
855,Danny Goldman
856,Danny Lee
857,Danny Lloyd
858,Danny Trejo
859,Dante Balauis
860,Dante Perez
861,Darianne Fluegel
862,Dario Argento
863,Dario Grandinetti
864,Dario Moreno
865,Darlanne Fluegel
866,Darrell Zwerling
867,Darryl Hickman
868,Darwin Joston
869,Darya Moroz
870,Darya Yugrens
871,Daryl Hannah
872,David Anzuelo
873,David Arkin
874,David Bendito
875,David Boliver
876,David Chiang
877,David Clennon
878,David Dovlatian
879,David Dukas
880,David Easteal
881,David Emge
882,David Farrar
883,David Harrington
884,David Harris
885,David Hemmings
886,David Huddleston
887,David Kessler
888,David Kross
889,David Liney
890,David Niven
891,David Novotny
892,David Patrick Kelly
893,David Prowse
894,David Pérez Espinosa
895,David Rollins
896,David Seaman
897,David Sherwood
898,David Torrence
899,David Wayne
900,David Wolfe
901,David Zayas
902,Davor Travinic
903,Dawn O'Day
904,DeWitt Jennings
905,Dean Jagger
906,Dean Martin
907,Dean Stockwell
908,Debbie Reynolds
909,Deborah Kerr
910,Deborah Van Valkenburgh
911,Debra Feuer
912,Debra Paget
913,Dedi Ristori
914,Delia Garcés
915,Delia Scala
916,Delle Bolton
917,Delphine Seyrig
918,Denden
919,Denholm Elliott
920,Denis Larzilière
921,Denis Lavant
922,Denis Menochet
923,Denis O'Dea
924,Denis Podalydès
925,Dennis Deveaugh
926,Dennis Farina
927,Dennis Goldson
928,Dennis Haysbert
929,Dennis Hopper
930,Dennis Weaver
931,Denver Pyle
932,Dervis Ward
933,Derya Alabora
934,Despina Bebedelli
935,Despina Kourti
936,Dhia Cristiani
937,Diahnne Abbott
938,Diana Aveni
939,Diana Decker
940,Diana Korner
941,Diane Keaton
942,Diane Kruger
943,Diane Ladd
944,Diane Varsi
945,Diane Venora
946,Dick Cavett
947,Dick Cheney
948,Dick Crockett
949,Dick Hogan
950,Dick Miller
951,Dick Powell
952,Didier Baussy
953,Didier Bezace
954,Diego Noguera
955,Dieter Montag
956,Dieter Schaad
957,Dieter-Rita Scholl
958,Dillon Freasier
959,Dinah Sheridan
960,Dinara Drukarova
961,Dino Curcio
962,Dioucounda Koma
963,Dirk Bogarde
964,Dita Parlo
965,Djibril Diop Mambety
966,Djédjé Apali
967,Djénéba Koné
968,Dmitri Kleyman
969,Dmitri Milyutenko
970,Dmitri Vvedenskij
971,Dodo Abasidze
972,Dok Ko-seong
973,Dolly Scal
974,Dolores Costello
975,Dolores Del Rio
976,Dolores Dorn
977,Dolphine Lundgren
978,Dom DeLuise
979,Dominic Guard
980,Dominique Besnehard
981,Dominique Blanc
982,Dominique Labourier
983,Dominique Sanda
984,Don 'Red' Barry
985,Don Ameche
986,Don Harvey
987,Don King
988,Don McHenry
989,Don Taylor
990,Donald Cook
991,Donald Crisp
992,Donald Dunn
993,Donald Holden
994,Donald O'Connor
995,Donald Sutherland
996,Donald Wolfit
997,Donatas Banionis
998,Dong-gun Jang
999,Donna Reed
1000,Dooley Wilson
1001,Dora Bryan
1002,Dora Doll
1003,Dorian Gray
1004,Dorian Harewood
1005,Dorina Chiriac
1006,Doris Day
1007,Doris Dowling
1008,Doris Nolan
1009,Doro Merande
1010,Dorothea Wieck
1011,Dorothy Comingore
1012,Dorothy Hart
1013,Dorothy Jordan
1014,Dorothy Malone
1015,Dorothy McGuire
1016,Dorothy Peterson
1017,Dorothée Blank
1018,Dorris Bowdon
1019,Dorsey Wright
1020,Doru Ana
1021,Doru Boguta
1022,Dorville
1023,Dots M. Johnson
1024,Doua Moua
1025,Douglas Dick
1026,Douglas Fairbanks
1027,Douglas Fowley
1028,Douglass Dumbrille
1029,Drago Milinovic
1030,Dragos Bucur
1031,Drashi
1032,Dreama Walker
1033,Du-na Bae
1034,Duane Jones
1035,Dub Taylor
1036,Duchange
1037,Dudukhana Tserodze
1038,Dustin Hoffman
1039,E. G. Marshall
1040,Ed Begley
1041,Ed Bishop
1042,Ed Emshwiller
1043,Ed Harris
1044,Ed Hinkle
1045,Ed Lauter
1046,Ed Stoppard
1047,Ed Vassallo
1048,Eda Kochl
1049,Edda Ferronao
1050,Edda Seippel
1051,Eddie Albert
1052,Eddie Egan
1053,Eddie Firestone
1054,Eddie Phillips
1055,Eddie Quillan
1056,Eddra Gale
1057,Eddy Ko
1058,Edie Sedgwick
1059,Edith Boulogne
1060,Edith Clever
1061,Edith Erastoff
1062,Edith Evanson
1063,Edith Rosset
1064,Edith Yorke
1065,Edmond O'Brien
1066,Edmond Van Daële
1067,Edmund Breese
1068,Edmund Breon
1069,Edmund Gurney
1070,Edmund Gwenn
1071,Edmund MacDonald
1072,Edmund Moeschke
1073,Edna Best
1074,Edna Purviance
1075,Edoardo Nevola
1076,Edouard Mathé
1077,Eduard Kohout
1078,Eduardo De Filippo
1079,Edward Arnold
1080,Edward Binns
1081,Edward Chapman
1082,Edward Elkas
1083,Edward Ellis
1084,Edward Everett Horton
1085,Edward G. Robinson
1086,Edward James Olmos
1087,Edward Norton
1088,Edward Platt
1089,Edwin E. Reed
1090,Edwin Neal
1091,Eiji Funakoshi
1092,Eiji Okada
1093,Eijiri Tono
1094,Eijirô Tôno
1095,Eiko Minami
1096,Eiko Muramatsu
1097,Eileen Heckart
1098,Einar Axelsson
1099,Einar Hanfstaengl
1100,Einar Hillep
1101,Eitaro Shindo
1102,Eitarô Ozawa
1103,El Brendel
1104,Elaine Jin
1105,Eleanor Bordman
1106,Eleanor Parker
1107,Elena Altieri
1108,Elena Fabrizi
1109,Elena Karam
1110,Elena Kuz'mina
1111,Elena Maksimova
1112,Elena Popova
1113,Eleonora Rossi Drago
1114,Eli Danker
1115,Eli Roth
1116,Eli Wallach
1117,Eliane Annie Adalto
1118,Elias Koteas
1119,Elisa Carricajo
1120,Elisabeth Bergner
1121,Elisha Cook
1122,Elisha Cook jr.
1123,Elizabeth Berridge
1124,Elizabeth Fuh
1125,Elizabeth Hartman
1126,Elizabeth MacRae
1127,Elizabeth McGovern
1128,Elizabeth Nizan
1129,Elizabeth Sellars
1130,Elizabeth Taylor
1131,Ella Raines
1132,Ellen Burstyn
1133,Ellen Corby
1134,Ellen Farner
1135,Ellen Hartman-Cederström
1136,Ellen Schwiers
1137,Ellen Widmann
1138,Elliott Gould
1139,Elmar Wepper
1140,Elmer Clifton
1141,Elodie Bouleau
1142,Eloi Yebra
1143,Elryan de Vera
1144,Elsa Berenguer
1145,Elsa De Giorgi
1146,Elsa Lanchester
1147,Elsa Martinelli
1148,Elsa Radzin Szolkonis
1149,Else Heller
1150,Elspeth Dudgeon
1151,Ely Galleani
1152,Elzbieta Karkoszka
1153,Eléonore Hirt
1154,Embeth Davidtz
1155,Emil Jannings
1156,Emile Abossolo M'bo
1157,Emilia Fox
1158,Emilia Giudicelli
1159,Emilie Dequenne
1160,Emilie Kurz
1161,Emilie Unda
1162,Emilio Cigoli
1163,Emilio Fernández
1164,Emilio Gavira
1165,Emily Holmes
1166,Emir Ozden
1167,Emma Druetti
1168,Emma Lowry
1169,Emma Penella
1170,Emma Thompson
1171,Emmanuelle Riva
1172,Emmy Rossum
1173,Emmy Wyda
1174,Emília Doseková
1175,Ennio Morricone
1176,Enrico Maria Salerno
1177,Enrique Diosdado
1178,Enrique Irazoqui
1179,Enrique Rambal
1180,Enrique Rocha
1181,Enrique Villén
1182,Enver Dönmez
1183,Enzo Petito
1184,Enzo Staiola
1185,Enzo Tarascio
1186,Erhan Emre
1187,Eric Alfieri
1188,Eric Allum
1189,Eric Barclay
1190,Eric Blore
1191,Eric Clapton
1192,Eric Stoltz
1193,Erich Gühne
1194,Erich Ponto
1195,Erich Von Stroheim
1196,Erik Rhodes
1197,Erik Rolf
1198,Erika Bók
1199,Erland Josephson
1200,Erminia Martinez
1201,Erna Rudnicki
1202,Ernest B. Schoedsack
1203,Ernest Borgnine
1204,Ernest Thesiger
1205,Ernest Torrence
1206,Ernesto Almirante
1207,Erno Crisa
1208,Ernst Deutsch
1209,Ernst Pittschau
1210,Erskine Sanford
1211,Ervín Tomendál
1212,Erwin Biswanger
1213,Erwin Leder
1214,Erzsébet Gaál
1215,Eslinda Nuñez
1216,Esmond Knight
1217,Essy Persson
1218,Esteban Carvajal-Alegria
1219,Estela Inda
1220,Estelle Evans
1221,Estelle Hemsley
1222,Estelle Parsons
1223,Esther Ralston
1224,Ethel Barrymore
1225,Ethel Wales
1226,Etsuko Ichihara
1227,Ettore Garofolo
1228,Ettore Giannini
1229,Eugene Pallette
1230,Eugenia Marruzzo
1231,Eugène Sylvain
1232,Eun-shim Lee
1233,Eunice Black
1234,Eva Birthistle
1235,Eva Kotamanidou
1236,Eva Maria Bayerwaltes
1237,Eva Maria Jost
1238,Eva Marie Saint
1239,Eva Mattes
1240,Eva Moore
1241,Eva Vidimská
1242,Eva Zeidler
1243,Evald Schorm
1244,Evangelia Adreadaki
1245,Evans Evans
1246,Eve Arden
1247,Eve March
1248,Evelyn Brent
1249,Evelyn Stewart
1250,Evelyne Ker
1251,Everett Sloane
1252,Everley Gregg
1253,Evgeniy Zharikov
1254,Evin Crowley
1255,Ewa Fröling
